Category,id,title,resource1,resource1_url,resource2,resource2_url,p1,p1_url,p2,p2_url,c1,c1_url,c2,c2_url,diff
Category: Graph Theory,207,Blossom Algorithm Weighted,,,,,1,http://uoj.ac/problem/81,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Graph%20Theory/Blossom%20Algorithm%20Weighted.cpp,,,3
Category: Graph Theory,208,Chinese Postman Problem,1,https://en.wikipedia.org/wiki/Route_inspection_problem,,,1,https://vjudge.net/problem/UVA-10296,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Graph%20Theory/Chinese%20Postman%20Problem.cpp,,,1
Category: Graph Theory,209,ST-numbering,1,https://en.wikipedia.org/wiki/Bipolar_orientation,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Graph%20Theory/ST%20Numbering.cpp,,,3
Category: Graph Theory,210,POSET ft Dilworths and Mirskys Theorem,1,https://sites.gatech.edu/math3012openresources/lecture-videos/lecture-14/,2,https://codeforces.com/blog/entry/3781,1,https://codeforces.com/problemset/problem/566/F,,,,,,,2
Category: Graph Theory,211,Stable Marriage Problem,1,https://en.wikipedia.org/wiki/Stable_marriage_problem,,,1,https://www.spoj.com/problems/STABLEMP/,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Graph%20Theory/Stable%20Marriage%20Problem.cpp,,,2
Category: Graph Theory,212,Halls Theorem,1,https://en.wikipedia.org/wiki/Hall%27s_marriage_theorem,,,1,https://codeforces.com/contest/628/problem/F,,,,,,,1
Category: Graph Theory,213,Maximum Density Subgraph,1,https://www2.eecs.berkeley.edu/Pubs/TechRpts/1984/CSD-84-171.pdf,,,1,https://vjudge.net/problem/UVA-1389,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Graph%20Theory/Maximum%20Density%20Subgraph.cpp,,,3
Category: Graph Theory,214,Randomized Matching,,,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Graph%20Theory/Randomized%20Matching%20Unweighted.cpp,code,https://github.com/ShahjalalShohag/code-library/blob/master/Graph%20Theory/Chinese%20Postman%20Problem.cpp,2
Category: Graph Theory,215,Number of Perfect Matchings in a Graph,1,https://dl.acm.org/doi/pdf/10.5555/2095116.2095189,,,1,https://judge.yosupo.jp/problem/hafnian_of_matrix,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Hafnian%20of%20a%20Matrix.cpp,,,3
Category: Graph Theory,216,Planarity Check,1,https://en.wikipedia.org/wiki/Planarity_testing,2,https://www.youtube.com/watch?v=1deOVlruc-o,,,,,,,,,3
Category: Data Structures,217,Segment Tree,1,https://cp-algorithms.com/data_structures/segment_tree.html,,,1,https://cp-algorithms.com/data_structures/segment_tree.html#toc-tgt-14,2,https://codeforces.com/blog/entry/22616,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Segment%20Tree.cpp,,,1
Category: Data Structures,218,Segment Tree with Lazy Propagation,1,https://cp-algorithms.com/data_structures/segment_tree.html#toc-tgt-10,,,1,https://cp-algorithms.com/data_structures/segment_tree.html#toc-tgt-14,2,https://codeforces.com/blog/entry/22616,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Segment%20Tree%20Lazy.cpp,,,1
Category: Data Structures,219,Persistent Segment Tree,1,https://cp-algorithms.com/data_structures/segment_tree.html#toc-tgt-12,,,1,https://codeforces.com/blog/entry/56880,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Segment%20Tree%20Persistent.cpp,,,1
Category: Data Structures,220,Persistent Segment Tree with Lazy Propagation,1,https://discuss.codechef.com/t/persistence-made-simple-tutorial/14915/11,,,1,https://www.codechef.com/problems/SUBINVER,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Segment%20Tree%20Persistent%20Lazy.cpp,,,2
Category: Data Structures,221,Dynamic Segment Tree,1,https://cp-algorithms.com/data_structures/segment_tree.html#toc-tgt-13,,,,,,,,,,,1
Category: Data Structures,222,2D Dynamic Segment Tree,,,,,1,https://oj.uz/problem/view/IOI13_game,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Segment%20Tree%202D%20Dynamic.cpp,,,2
Category: Data Structures,223,Iterative Segment Tree,1,https://codeforces.com/blog/entry/18051,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Segment%20Tree%20NonRecursive.cpp,,,1
Category: Data Structures,224,Segment Tree ft Arithmetic Progressions,,,,,1,https://www.codechef.com/problems/RVRSE,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Segment%20Tree%20with%20Arithmetic%20Progression.cpp,,,1
Category: Data Structures,225,Segment Tree Merging,1,https://codeforces.com/blog/entry/49446,,,1,http://www.lydsy.com:808/JudgeOnline/problem.php?id=4552,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Segment%20Tree%20Merging.cpp,,,2
Category: Data Structures,226,Segment Tree Beats,1,https://codeforces.com/blog/entry/57319,,,1,https://judge.yosupo.jp/problem/range_chmin_chmax_add_range_sum,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Segment%20Tree%20Beats.cpp,,,3
